X,Y,Z,formation,group
456851.465472,6787025.422135,-1850.12793,etive,etive e
458605.025043,6786527.664994,-1854.60498,etive,etive j
458505.025043,6787227.664994,-1853.86145,etive,etive j
458005.025043,6787327.664994,-1908.975586,etive,etive j
458655.025043,6788227.664994,-1918.816528,etive,etive j
457905.025043,6787427.664994,-1934.313843,etive,etive j
458305.025043,6786927.664994,-1854.4090579999997,etive,etive j
458655.025043,6788127.664994,-1930.410278,etive,etive j
457805.025043,6786827.664994,-1916.0834960000002,etive,etive j
457855.025043,6787477.664994,-1942.3038329999997,etive,etive j
458055.025043,6786727.664994,-1884.590576,etive,etive j
458555.025043,6786477.664994,-1867.491455,etive,etive j
458105.025043,6786627.664994,-1880.214233,etive,etive j
458255.025043,6786927.664994,-1852.819702,etive,etive j
457805.025043,6786427.664994,-1899.143921,etive,etive j
458555.025043,6788177.664994,-1925.846436,etive,etive j
458005.025043,6786977.664994,-1892.2159420000003,etive,etive j
458355.025043,6787577.664994,-1884.966675,etive,etive j
458555.025043,6786677.664994,-1858.546875,etive,etive j
458155.025043,6786877.664994,-1868.7595210000002,etive,etive j
458155.025043,6785927.664994,-1830.401611,etive,etive j
455769.83021800005,6786315.989151999,-1856.8103030000002,fault6,fault6
456069.83021800005,6785965.989151999,-1815.434082,fault6,fault6
455719.83021800005,6788215.989151999,-2012.481445,fault6,fault6
455719.83021800005,6786365.989151999,-1810.293945,fault6,fault6
456219.83021800005,6785915.989151999,-1896.7641600000002,fault6,fault6
455869.83021800005,6786515.989151999,-1868.3182370000002,fault6,fault6
455769.83021800005,6788015.989151999,-2019.777222,fault6,fault6
456969.83021800005,6786015.989151999,-2086.165039,fault6,fault6
456019.83021800005,6787565.989151999,-2079.818359,fault6,fault6
455469.83021800005,6787415.989151999,-1801.563477,fault6,fault6
456419.83021800005,6786815.989151999,-2129.146729,fault6,fault6
455769.83021800005,6787615.989151999,-1971.638184,fault6,fault6
455969.83021800005,6788115.989151999,-2113.558838,fault6,fault6
456269.83021800005,6786665.989151999,-2055.591064,fault6,fault6
455819.83021800005,6786965.989151999,-1976.119873,fault6,fault6
456469.83021800005,6785865.989151999,-2042.86853,fault6,fault6
455619.83021800005,6787615.989151999,-1890.942627,fault6,fault6
456069.83021800005,6787165.989151999,-2103.80127,fault6,fault6
456319.83021800005,6785615.989151999,-1998.4739989999998,fault6,fault6
456419.83021800005,6787165.989151999,-2194.961182,fault6,fault6
457068.956805,6788222.966691,-1777.12085,fault7,fault7
457668.956805,6787972.966691,-2100.510254,fault7,fault7
457618.956805,6785672.966691,-1815.90564,fault7,fault7
457318.956805,6788122.966691,-1930.319702,fault7,fault7
457768.956805,6786722.966691,-1967.744507,fault7,fault7
457518.956805,6786172.966691,-1892.1967769999999,fault7,fault7
457918.956805,6786872.966691,-2025.7641600000002,fault7,fault7
457368.956805,6786572.966691,-1769.149536,fault7,fault7
457318.956805,6787172.966691,-1830.7548829999998,fault7,fault7
457618.956805,6786122.966691,-1958.842529,fault7,fault7
457618.956805,6787972.966691,-2090.817871,fault7,fault7
457818.956805,6787722.966691,-2148.531982,fault7,fault7
457668.956805,6787272.966691,-2013.31311,fault7,fault7
457818.956805,6786772.966691,-1985.1264649999998,fault7,fault7
457218.956805,6786022.966691,-1702.493164,fault7,fault7
457568.956805,6787722.966691,-2011.808594,fault7,fault7
457618.956805,6787172.966691,-2012.898682,fault7,fault7
457568.956805,6786122.966691,-1938.8101809999998,fault7,fault7
458018.956805,6787872.966691,-2144.194336,fault7,fault7
457618.956805,6787572.966691,-2025.0225829999997,fault7,fault7
455257.52736199996,6786705.882706,-1949.461548,ness,ness c
455457.52736199996,6787155.882706,-1908.547241,ness,ness c
455507.52736199996,6786405.882706,-1886.6616210000002,ness,ness c
455157.52736199996,6787805.882706,-1966.8570559999998,ness,ness c
455257.52736199996,6786005.882706,-1925.502686,ness,ness c
455407.52736199996,6786605.882706,-1913.610229,ness,ness c
455057.52736199996,6787355.882706,-1922.33313,ness,ness c
455257.52736199996,6787755.882706,-1940.86145,ness,ness c
455357.52736199996,6787105.882706,-1928.6813960000002,ness,ness c
455157.52736199996,6785805.882706,-1959.6738280000002,ness,ness c
455207.52736199996,6787455.882706,-1923.211426,ness,ness c
455057.52736199996,6788005.882706,-1951.231445,ness,ness c
455157.52736199996,6786755.882706,-1970.440552,ness,ness c
455707.52736199996,6786205.882706,-1866.8735350000002,ness,ness c
455307.52736199996,6787405.882706,-1912.1302489999998,ness,ness c
455007.52736199996,6787955.882706,-1957.984497,ness,ness c
455457.52736199996,6786705.882706,-1897.883911,ness,ness c
455357.52736199996,6788155.882706,-1917.172241,ness,ness c
455107.52736199996,6785905.882706,-1963.285156,ness,ness c
455307.52736199996,6786405.882706,-1934.036255,ness,ness c
456300.314715,6785686.143693,-1880.797119,ness,ness e h
456450.314715,6786786.143693,-1862.044189,ness,ness e h
456050.314715,6788136.143693,-1982.620972,ness,ness e h
456800.314715,6788186.143693,-1852.379639,ness,ness e h
456050.314715,6786636.143693,-1904.6927489999998,ness,ness e h
456000.314715,6786986.143693,-1931.829346,ness,ness e h
456650.314715,6787536.143693,-1850.062134,ness,ness e h
456700.314715,6786386.143693,-1836.033325,ness,ness e h
456150.314715,6786686.143693,-1892.728882,ness,ness e h
456800.314715,6785686.143693,-1820.672729,ness,ness e h
456300.314715,6786586.143693,-1885.788818,ness,ness e h
455900.314715,6787436.143693,-1943.967407,ness,ness e h
456550.314715,6788186.143693,-1914.190674,ness,ness e h
456050.314715,6786836.143693,-1920.725464,ness,ness e h
456250.314715,6786836.143693,-1881.823975,ness,ness e h
456100.314715,6787986.143693,-1968.156128,ness,ness e h
456100.314715,6787736.143693,-1939.980225,ness,ness e h
