X,Y,Z,surface,group
455704.32765500003,6781244.440568,-1931.585571,ness,ness D
456304.32765500003,6780894.440568,-1870.241211,ness,ness D
455004.32765500003,6780844.440568,-1994.581299,ness,ness D
455054.32765500003,6780544.440568,-1965.6151120000002,ness,ness D
455654.32765500003,6780594.440568,-1900.201904,ness,ness D
456354.32765500003,6781794.440568,-1857.602295,ness,ness D
454404.32765500003,6780444.440568,-2062.540527,ness,ness D
455154.32765500003,6780894.440568,-1980.498657,ness,ness D
456404.32765500003,6781494.440568,-1833.6075440000002,ness,ness D
456454.32765500003,6781794.440568,-1836.088623,ness,ness D
455154.32765500003,6780994.440568,-1984.831543,ness,ness D
455404.32765500003,6780794.440568,-1948.250732,ness,ness D
454554.32765500003,6780794.440568,-2067.436768,ness,ness D
455004.32765500003,6780844.440568,-1994.581299,ness,ness D
454904.32765500003,6780344.440568,-1974.2906489999998,ness,ness D
454454.32765500003,6780444.440568,-2059.052002,ness,ness D
455854.32765500003,6780644.440568,-1893.331543,ness,ness D
455704.32765500003,6780544.440568,-1884.671021,ness,ness D
455920.57326000003,6782941.468155,-1815.526855,ness,ness G
455620.57326000003,6782541.468155,-1841.082886,ness,ness G
455620.57326000003,6783141.468155,-1867.7991940000002,ness,ness G
455120.57326000003,6782591.468155,-1892.1074219999998,ness,ness G
455770.57326000003,6782591.468155,-1809.8642579999998,ness,ness G
455120.57326000003,6782841.468155,-1904.831055,ness,ness G
455320.57326000003,6782591.468155,-1882.830566,ness,ness G
455670.57326000003,6783341.468155,-1859.191284,ness,ness G
455570.57326000003,6783091.468155,-1872.284912,ness,ness G
455770.57326000003,6782691.468155,-1816.867798,ness,ness G
455570.57326000003,6783041.468155,-1875.663818,ness,ness G
455820.57326000003,6783341.468155,-1836.1070559999998,ness,ness G
455170.57326000003,6783041.468155,-1925.185791,ness,ness G
455470.57326000003,6783091.468155,-1887.5684809999998,ness,ness G
455570.57326000003,6783141.468155,-1868.730957,ness,ness G
455720.57326000003,6783141.468155,-1855.701782,ness,ness G
455370.57326000003,6782391.468155,-1858.9315190000002,ness,ness G
455670.57326000003,6783141.468155,-1861.0063480000001,ness,ness G
455720.57326000003,6782541.468155,-1818.465576,ness,ness G
455370.57326000003,6782541.468155,-1877.1357420000002,ness,ness G
455870.57326000003,6782991.468155,-1825.5559079999998,ness,ness G
455670.57326000003,6782891.468155,-1851.216675,ness,ness G
